,ntimes
expt_10,2055
expt_10_hd,1782
expt_11,3383
expt_11_hd,1380
expt_12,2982
expt_12_hd,1621
expt_13,3696
expt_13_hd,1637
expt_14,2561
expt_14_hd,2155
expt_15,3079
expt_15_hd,1758
expt_16,4767
expt_16_hd,1388
expt_17,3087
expt_17_hd,2556
expt_18_hd,2901
expt_19_hd,2198
expt_2,3130
expt_20_hd,2863
expt_21_hd,2560
expt_23_hd,1808
expt_26_hd,2510
expt_27_hd,4425
expt_28_hd,2240
expt_29_hd,2351
expt_30_hd,1730
expt_31_hd,1302
expt_32_hd,1635
expt_33_hd,1927
expt_34,2953
expt_34_hd,1736
expt_34_old,-1
expt_35_hd,1950
expt_36_hd,3282
expt_37_hd,2247
expt_38_hd,1764
expt_39,6168
expt_39_hd,1692
expt_3_hd,4062
expt_4,2102
expt_40_hd,2101
expt_41,3882
expt_41_hd,1695
expt_42_hd,2090
expt_43,5471
expt_43_hd,2178
expt_44_hd,2580
expt_45,3083
expt_45_hd,1592
expt_46_hd,1554
expt_47_hd,1514
expt_48,3902
expt_48_hd,1920
expt_49_hd,1361
expt_50_hd,2072
expt_51_hd,2867
expt_52_hd,2361
expt_53_hd,2906
expt_63_hd,2053
expt_7,3900
expt_7_hd,2359
expt_8,2448
expt_9,2594
expt_9_hd,1794
