,first_gain,second_gain
expt10,0.846000000834465,1.0
expt10_hd,1.0,1.153999999165535
expt11,1.460999995470047,1.0
expt11_hd,1.0,0.846000000834465
expt12,0.231000006198883,1.0
expt12_hd,1.0,1.462000012397766
expt13,1.768999993801117,1.0
expt13_hd,1.0,0.5379999876022339
expt14,0.539000004529953,1.0
expt14_hd,1.0,0.231000006198883
expt15,0.1000000238418579,1.0
expt15_hd,1.0,1.768999993801117
expt16,0.1000000238418579,1.0
expt16_hd,1.0,1.153999999165535
expt17,1.0,NA
expt17_hd,1.0,1.0676935389637947
expt18_hd,1.0,0.3749696016311645
expt19_hd,1.0,0.6339438259601593
expt2,1.0,NA
expt20_hd,1.0,1.066180057823658
expt21_hd,1.0,1.533830463886261
expt23_hd,1.0,0.846000000834465
expt26_hd,0.5379999876022339,1.0
expt27_hd,1.0,1.768999993801117
expt28_hd,1.0,0.231000006198883
expt29_hd,1.0,1.768999993801117
expt30_hd,1.0,1.462000012397766
expt31_hd,1.0,0.1000276803970336
expt32_hd,1.0,0.926094889640808
expt33_hd,1.0,1.3993013203144071
expt34,1.0,NA
expt34_hd,1.0,0.1000186204910278
expt35_hd,1.0,3.9999842643737793
expt36_hd,1.0,2.01207172870636
expt37_hd,1.0,0.945627648383379
expt38_hd,1.0,NA
expt39,0.231000006198883,1.0
expt39_hd,1.0,1.153999999165535
expt3_hd,1.0,0.846000000834465
expt4,0.539000004529953,1.0
expt40_hd,1.0,0.846000000834465
expt41,1.768999993801117,1.0
expt41_hd,1.0,1.462000012397766
expt42_hd,1.0,0.5379999876022339
expt43,1.153999999165535,1.0
expt43_hd,1.0,0.231000006198883
expt44_hd,1.0,1.768999993801117
expt45,0.231000006198883,1.0
expt45_hd,1.0,0.8595345067229333
expt46_hd,1.0,1.307800018747073
expt47_hd,1.0,0.5046945942364641
expt48,0.231000006198883,1.0
expt48_hd,1.0,3.08308219909668
expt49_hd,1.0,0.8359066992998123
expt50_hd,1.0,0.1001325249671936
expt51_hd,1.0,1.2270653247833252
expt52_hd,1.0,0.3977665336893353
expt53_hd,1.0,1.5283629298210144
expt63_hd,1.0,1.2625382840633392
expt7,0.231000006198883,1.0
expt7_hd,1.0,1.462000012397766
expt8,1.768999993801117,1.0
expt9,1.153999999165535,1.0
expt9_hd,1.0,NA
