,n_laps_total,n_laps_other_gain,n_times_total,n_times_other_gain
expt10,84.0,62.0,208236,158833
expt10_hd,94.0,26.0,178311,46630
expt11,100.0,61.0,341121,221792
expt11_hd,86.0,26.0,138026,39610
expt12,131.0,77.0,302405,168497
expt12_hd,96.0,26.0,163342,48017
expt13,173.0,119.0,370149,257362
expt13_hd,108.0,26.0,162637,42587
expt14,118.0,80.0,256521,176966
expt14_hd,127.0,26.0,215665,41876
expt15,163.0,113.0,308105,214206
expt15_hd,111.0,26.0,175820,41773
expt16,153.0,34.0,450280,137628
expt16_hd,80.0,26.0,138860,45729
expt17,137.0,0.0,301274,0
expt17_hd,130.0,91.0,255778,1557
expt18_hd,181.0,2.0,291804,170
expt19_hd,107.0,2.0,221784,2203
expt2,131.0,0.0,315962,0
expt20_hd,163.0,58.0,286332,119
expt21_hd,133.0,39.0,256113,1486
expt23_hd,83.0,26.0,181074,54525
expt26_hd,88.0,26.0,252757,104730
expt27_hd,113.0,26.0,443428,93838
expt28_hd,117.0,26.0,225859,50742
expt29_hd,125.0,26.0,235361,53521
expt30_hd,110.0,26.0,173348,40719
expt31_hd,80.0,18.0,130279,182
expt32_hd,94.0,40.0,163619,102
expt33_hd,121.0,16.0,193341,32
expt34,48.0,0.0,296299,0
expt34_hd,121.0,33.0,173698,374
expt35_hd,132.0,14.0,195223,640
expt36_hd,162.0,5.0,328266,3237
expt37_hd,162.0,19.0,224709,32
expt38_hd,93.0,0.0,176541,0
expt39,63.0,37.0,617873,538444
expt39_hd,101.0,26.0,171666,42053
expt3_hd,84.0,26.0,397609,151550
expt4,93.0,55.0,211836,139489
expt40_hd,85.0,26.0,210169,72171
expt41,72.0,46.0,388330,294103
expt41_hd,100.0,26.0,169635,38997
expt42_hd,120.0,26.0,209638,44580
expt43,63.0,54.0,554195,475920
expt43_hd,127.0,26.0,218036,39985
expt44_hd,127.0,26.0,258154,68246
expt45,73.0,47.0,309823,243954
expt45_hd,96.0,9.0,159892,15
expt46_hd,91.0,1.0,155774,17
expt47_hd,101.0,1.0,151697,16
expt48,72.0,46.0,399161,292675
expt48_hd,122.0,0.0,192571,30
expt49_hd,99.0,0.0,136809,23
expt50_hd,122.0,6.0,207956,308
expt51_hd,121.0,32.0,287423,119
expt52_hd,122.0,1.0,236683,20
expt53_hd,127.0,8.0,290719,106
expt63_hd,125.0,56.0,205487,21
expt7,147.0,93.0,391228,257916
expt7_hd,95.0,26.0,232760,46761
expt8,141.0,87.0,246866,155299
expt9,74.0,51.0,259599,198060
expt9_hd,91.0,0.0,179492,0
