,ntimes (timestep = 1000000)
expt10,2055
expt10_hd,1782
expt11,3383
expt11_hd,1380
expt12,2982
expt12_hd,1621
expt13,3696
expt13_hd,1637
expt14,2561
expt14_hd,2155
expt15,3079
expt15_hd,1758
expt16,4767
expt16_hd,1388
expt17,3087
expt17_hd,2556
expt18_hd,2901
expt19_hd,2198
expt2,3130
expt20_hd,2863
expt21_hd,2560
expt23_hd,1808
expt26_hd,2510
expt27_hd,4425
expt28_hd,2240
expt29_hd,2351
expt30_hd,1730
expt31_hd,1302
expt32_hd,1635
expt33_hd,1927
expt34,2953
expt34_hd,1736
expt35_hd,1950
expt36_hd,3282
expt37_hd,2247
expt38_hd,1764
expt39,6168
expt39_hd,1692
expt3_hd,4062
expt4,2102
expt40_hd,2101
expt41,3882
expt41_hd,1695
expt42_hd,2090
expt43,5471
expt43_hd,2178
expt44_hd,2580
expt45,3083
expt45_hd,1592
expt46_hd,1554
expt47_hd,1514
expt48,3902
expt48_hd,1920
expt49_hd,1361
expt50_hd,2072
expt51_hd,2867
expt52_hd,2361
expt53_hd,2906
expt63_hd,2053
expt7,3900
expt7_hd,2359
expt8,2448
expt9,2594
expt9_hd,1794
